hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date,month
23,0.0001182004634756,5.816837801830843e-05,4.18743584305048e-05,0.0002938195248134,0.0001051413637469,4946813,2026-02-21,2
0,,,,,,4946813,2026-02-22,2
10,0.0001271609653485,4.7877063479973e-05,3.163467044942081e-05,0.0001867760001914,0.0001283552846871,4946813,2026-02-23,2
0,,,,,,4946813,2026-02-24,2
11,0.000121830664284,4.425353472470306e-05,6.992310227360576e-05,0.0001945292169693,0.000118440548249,4946813,2026-02-25,2
0,,,,,,4946813,2026-02-26,2
0,,,,,,4946813,2026-02-27,2
60,0.0001217275494127,4.478955088416114e-05,1.560680721013341e-05,0.0002026053552981,0.0001131267636083,4946813,2026-02-28,2
152,0.0001813266862882,9.66555016930215e-05,3.4828642583306646e-06,0.0006865347386337,0.0001699600252322,4946813,2026-03-01,3
149,0.0002197287249146,0.0001253954396815,-9.4133079983294e-05,0.00051802926464,0.0002036750520346,4946813,2026-03-02,3
6,9.844114538282156e-05,4.253768565831706e-05,6.121068145148456e-05,0.0001869892585091,7.968756835907698e-05,4946813,2026-03-03,3
93,0.0001533295435365,6.202900840435177e-05,3.740864121937193e-05,0.0002760195638984,0.0001591912005096,4946813,2026-03-04,3
0,,,,,,4946813,2026-03-05,3
0,,,,,,4946813,2026-03-06,3
3,7.32564803911373e-05,4.157791408943013e-05,3.68590590369422e-05,0.0001314490073127,5.14613748237025e-05,4946813,2026-03-07,3
0,,,,,,4946813,2026-03-08,3
0,,,,,,4946813,2026-03-09,3
155,0.000166634490597,8.714608702575788e-05,-7.285823812708259e-05,0.0004118475771974,0.000167350997799,4946813,2026-03-10,3
24,0.0001176923178718,7.465817907359451e-05,-2.723660327319521e-05,0.0002055580698652,0.0001484666427131,4946813,2026-03-11,3
64,0.0001503369858255,5.7411591114941984e-05,3.515310527291149e-05,0.0002853766200132,0.000148166771396,4946813,2026-03-12,3
78,0.0001277562696486,6.370730989146978e-05,1.4061498404771555e-05,0.0004044121305923,0.0001199173566419,4946813,2026-03-13,3
2,7.527510751970112e-05,7.266029570018873e-06,6.800908158766106e-05,8.25411407276988e-05,7.527510751970112e-05,4946813,2026-03-14,3
6,7.699277921346948e-05,4.3588912376435474e-05,7.287194875971181e-06,0.0001168706221505,9.412889630766584e-05,4946813,2026-03-15,3
113,0.0001412231649737,4.5258173486217856e-05,3.256674972362816e-05,0.0002224562922492,0.000141178825288,4946813,2026-03-16,3
72,0.0001164099157904,4.251392601872794e-05,5.2894436521455646e-05,0.0002271413686685,0.0001245476887561,4946813,2026-03-17,3
66,0.0001263930316781,5.43515125173144e-05,-1.6355990737793036e-05,0.0002623738837428,0.0001286494662053,4946813,2026-03-18,3
72,0.0001393663114868,5.73242359678261e-05,3.284640479250811e-05,0.0003457695129327,0.0001294726680498,4946813,2026-03-19,3
3,0.0001838252064771,2.976448922709096e-05,0.0001627785240998,0.000225918542128,0.0001627785240998,4946813,2026-03-20,3
0,,,,,,4946813,2026-03-21,3
30,0.0001709927455522,8.930048352340236e-05,1.2853215594077485e-05,0.0004086886183358,0.000164534227224,4946813,2026-03-22,3
14,0.0001265784812858,4.460580748855136e-05,2.8685919460258447e-05,0.0002326459361938,0.0001224483712576,4946813,2026-03-23,3
64,0.0001487920235376,7.48097081668675e-05,1.9293278455734253e-05,0.0004694238887168,0.0001267923944396,4946813,2026-03-24,3
20,0.000149567349581,6.088840382290073e-05,1.4545432350132614e-05,0.000280633335933,0.000140948803164,4946813,2026-03-25,3
26,0.0001932910236064,3.257886419305578e-05,0.0001352826948277,0.0002453385677654,0.0001862071221694,4946813,2026-03-26,3
7,0.0001914082822622,0.0001152773038484,3.6454683140618727e-05,0.0003250042791478,0.000243718503043,4946813,2026-03-27,3
0,,,,,,4946813,2026-03-28,3
92,0.0002143485908163,0.0001140190215664,6.254629988688976e-05,0.0005599616561084,0.0001757730497047,4946813,2026-03-29,3
155,0.0003371681377757,0.0001251611975021,0.0001131318349507,0.0006366773159243,0.0003227566485293,4946813,2026-03-30,3
156,0.0003364441217854,0.0001235709351021,0.0001149174495367,0.0006513349944725,0.0002943035506177,4946813,2026-03-31,3
49,0.0002349893766222,4.3554184230742976e-05,0.0001687021285761,0.0003335787041578,0.0002341728104511,4946813,2026-04-01,4
73,0.0002727335086092,5.965148011455312e-05,0.000142299250001,0.0003775481600314,0.0002819650690071,4946813,2026-04-02,4
151,0.0002671067195478,7.322373858187348e-05,8.401757077081129e-05,0.0006124983774498,0.0002588772331364,4946813,2026-04-03,4
134,0.0003793118521571,0.0001557355280965,3.444088724791072e-05,0.000868464296218,0.0003361842245794,4946813,2026-04-04,4
122,0.0003574601432774,0.0001310436346102,0.000178280781256,0.0007672591600567,0.0003167325048707,4946813,2026-04-05,4
152,0.0004345912893768,0.0001125244743889,0.0002498285030014,0.0008010021410882,0.0004331126983743,4946813,2026-04-06,4
156,0.0003973035491071,0.0001593030174262,-0.0001152063778135,0.0008249930106103,0.0004182725097052,4946813,2026-04-07,4
156,0.0003844616003334,9.484882320975883e-05,0.0001505431864643,0.0006802424322813,0.0003879109863191,4946813,2026-04-08,4
156,0.0004527600249275,0.0001268695195904,0.0001581884425831,0.0007791080279275,0.0004529649741016,4946813,2026-04-09,4
156,0.0005444021662697,0.0001221304410137,0.0001564139092806,0.0008302418282255,0.0005456691142171,4946813,2026-04-10,4
156,0.0005116459215059,0.0001023826553137,0.0002658104640431,0.0007700430578552,0.000507017946802,4946813,2026-04-11,4
141,0.0004915540339425,0.000173047883436,-7.353904948104173e-05,0.0009859862038865,0.0004885868402197,4946813,2026-04-12,4
156,0.0004326444177422,0.0001091717713279,0.0001905297831399,0.0007258742116391,0.0004346807836554,4946813,2026-04-13,4
155,0.0003269592707511,5.566138497670181e-05,0.0001680283021414,0.0005544329178519,0.0003244811086915,4946813,2026-04-14,4
79,0.0002847436990123,4.21843069489114e-05,0.0001570324820932,0.0003943499468732,0.000285048445221,4946813,2026-04-15,4
