location_id,date,aod_mean
2161313,2021-01-24,1.4572630258587418
2161314,2021-01-24,
2161315,2021-01-24,1.1410107366537432
2161316,2021-01-24,1.5999855282199709
2161318,2021-01-24,
2161320,2021-01-24,
2161321,2021-01-24,1.2432590561078738
2161322,2021-01-24,
4946811,2021-01-24,
4946812,2021-01-24,1.3420999375390383
4946813,2021-01-24,1.5095838788105478
6123215,2021-01-24,1.492
18,2021-01-25,
2539,2021-01-25,
7441,2021-01-25,
307169,2021-01-25,
1285357,2021-01-25,
2161290,2021-01-25,
2161291,2021-01-25,
2161292,2021-01-25,
2161293,2021-01-25,
2161294,2021-01-25,
2161295,2021-01-25,
2161296,2021-01-25,
2161298,2021-01-25,
2161299,2021-01-25,
2161300,2021-01-25,
2161301,2021-01-25,
2161303,2021-01-25,
2161304,2021-01-25,
2161306,2021-01-25,
2161307,2021-01-25,
2161308,2021-01-25,
2161309,2021-01-25,
2161313,2021-01-25,
2161314,2021-01-25,
2161315,2021-01-25,
2161316,2021-01-25,
2161318,2021-01-25,
2161320,2021-01-25,
2161321,2021-01-25,
2161322,2021-01-25,
4946811,2021-01-25,
4946812,2021-01-25,
4946813,2021-01-25,
6123215,2021-01-25,
18,2021-01-31,
2539,2021-01-31,
7441,2021-01-31,
307169,2021-01-31,
1285357,2021-01-31,
2161290,2021-01-31,
2161291,2021-01-31,
2161292,2021-01-31,
2161293,2021-01-31,
2161294,2021-01-31,
2161295,2021-01-31,
2161296,2021-01-31,
2161298,2021-01-31,
2161299,2021-01-31,
2161300,2021-01-31,
2161301,2021-01-31,
2161303,2021-01-31,
2161304,2021-01-31,
2161306,2021-01-31,
2161307,2021-01-31,
2161308,2021-01-31,
2161309,2021-01-31,
2161313,2021-01-31,
2161314,2021-01-31,
2161315,2021-01-31,
2161316,2021-01-31,
2161318,2021-01-31,
2161320,2021-01-31,
2161321,2021-01-31,
2161322,2021-01-31,
4946811,2021-01-31,
