location_id,date,hcho_mean,hcho_max,hcho_morning,month
2161292,2025-02-06,3.3166666666666664,4.4,2.75,2
2161292,2025-02-07,1.8333333333333333,2.7,1.1,2
2161292,2025-02-08,1.9458333333333335,2.8,1.325,2
2161292,2025-02-09,2.466666666666667,4.1,1.8,2
2161292,2025-02-10,4.229166666666667,4.9,4.275,2
2161292,2025-02-11,2.9375,3.9,3.075,2
2161292,2025-02-12,2.6,4.7,1.85,2
2161292,2025-02-13,3.0875,4.8,1.575,2
2161292,2025-02-14,3.404166666666667,4.2,3.275,2
2161292,2025-02-15,2.845833333333333,3.9,2.3,2
2161292,2025-02-16,2.7291666666666665,3.4,2.225,2
2161292,2025-02-17,3.1333333333333333,4.2,2.3499999999999996,2
2161292,2025-02-18,2.2624999999999997,3.8,1.175,2
2161292,2025-02-19,3.6,5.0,2.575,2
2161292,2025-02-20,3.1833333333333336,4.3,3.1,2
2161292,2025-02-21,2.7083333333333335,3.8,2.075,2
2161292,2025-02-22,3.2875,4.3,2.875,2
2161292,2025-02-23,2.6875,3.3,2.475,2
2161292,2025-02-24,2.1166666666666667,3.0,1.6,2
2161292,2025-02-25,2.85,3.6,2.425,2
2161292,2025-02-26,3.1750000000000003,3.9,2.55,2
2161292,2025-02-27,4.179166666666666,5.5,4.125,2
2161292,2025-02-28,2.575,3.5,2.625,2
2161292,2025-03-01,1.925,3.8,1.125,3
2161292,2025-03-02,2.3041666666666667,4.6,1.125,3
2161292,2025-03-03,3.0833333333333335,6.2,1.525,3
2161292,2025-03-04,2.845833333333333,5.5,1.65,3
2161292,2025-03-05,3.3541666666666665,5.4,1.85,3
2161292,2025-03-06,1.9708333333333332,3.9,1.2,3
2161292,2025-03-07,2.3000000000000003,3.3,1.475,3
2161292,2025-03-08,2.8958333333333335,3.7,2.3,3
2161292,2025-03-09,3.5124999999999997,4.6,2.625,3
2161292,2025-03-10,4.5125,5.2,4.5,3
2161292,2025-03-11,2.3874999999999997,4.0,1.7,3
2161292,2025-03-12,1.8833333333333335,3.4,1.4249999999999998,3
2161292,2025-03-13,1.7541666666666667,3.3,1.175,3
2161292,2025-03-14,3.0500000000000003,5.8,1.5,3
2161292,2025-03-15,2.025,3.4,1.1,3
2161292,2025-03-16,2.3249999999999997,4.1,1.45,3
2161292,2025-03-17,3.1333333333333333,4.4,2.5,3
2161292,2025-03-18,2.1166666666666667,3.6,1.525,3
2161292,2025-03-19,2.5875,4.1,2.4,3
2161292,2025-03-20,3.8666666666666667,7.0,3.35,3
2161292,2025-03-21,5.441666666666666,7.9,7.475,3
2161292,2025-03-22,4.6625000000000005,5.7,5.175,3
2161292,2025-03-23,4.341666666666667,6.0,5.725,3
2161292,2025-03-24,4.829166666666667,6.8,5.75,3
2161292,2025-03-25,4.045833333333333,6.6,2.65,3
2161292,2025-03-26,3.920833333333333,6.6,2.7,3
2161292,2025-03-27,4.983333333333333,7.8,2.975,3
2161292,2025-03-28,4.645833333333333,7.2,3.225,3
2161292,2025-03-29,2.558333333333333,3.7,1.425,3
2161292,2025-03-30,2.9875000000000003,4.1,2.275,3
2161292,2025-03-31,3.6,4.8,2.75,3
2161292,2025-04-01,4.6000000000000005,8.4,3.35,4
2161292,2025-04-02,8.512500000000001,11.8,9.700000000000001,4
2161292,2025-04-03,6.483333333333333,11.0,8.45,4
2161292,2025-04-04,3.7291666666666665,5.3,3.8499999999999996,4
2161292,2025-04-05,4.8374999999999995,9.9,2.75,4
2161292,2025-04-06,7.954166666666667,11.3,9.775,4
2161292,2025-04-07,5.191666666666667,8.8,3.075,4
2161292,2025-04-08,4.8500000000000005,6.7,3.675,4
2161292,2025-04-09,3.2291666666666665,6.0,1.85,4
2161292,2025-04-10,4.204166666666667,8.1,2.225,4
2161292,2025-04-11,5.316666666666667,8.4,3.0250000000000004,4
2161292,2025-04-12,6.204166666666667,10.6,7.825,4
2161292,2025-04-13,3.1916666666666664,4.8,3.05,4
2161292,2025-04-14,6.079166666666667,15.5,4.625,4
2161292,2025-04-15,12.133333333333333,25.8,21.85,4
2161292,2025-04-16,5.929166666666667,8.9,7.225,4
2161292,2025-04-17,5.6375,9.4,2.85,4
2161292,2025-04-18,8.970833333333333,12.4,6.9750000000000005,4
2161292,2025-04-19,10.8375,17.4,15.6,4
2161292,2025-04-20,7.841666666666666,12.6,8.7,4
2161292,2025-04-21,6.0125,9.1,4.475,4
2161292,2025-04-22,8.208333333333334,11.1,7.625,4
2161292,2025-04-23,9.066666666666666,10.4,10.325,4
2161292,2025-04-24,7.416666666666667,12.0,5.75,4
2161292,2025-04-25,5.6375,9.5,3.7249999999999996,4
2161292,2025-04-26,5.704166666666667,8.6,3.9,4
2161292,2025-04-27,5.141666666666667,8.8,2.7,4
2161292,2025-04-28,5.866666666666667,11.3,2.45,4
2161292,2025-04-29,10.174999999999999,13.9,9.15,4
2161292,2025-04-30,8.583333333333334,12.6,7.65,4
2161292,2025-05-01,7.320833333333333,10.2,4.0,5
2161292,2025-05-02,10.012500000000001,20.7,17.375,5
2161292,2025-05-03,7.0,10.8,5.325,5
2161292,2025-05-04,8.370833333333334,12.1,6.925000000000001,5
2161292,2025-05-05,9.954166666666667,14.3,11.225,5
2161292,2025-05-06,7.970833333333334,13.5,4.325,5
2161292,2025-05-07,7.8875,13.5,5.375,5
2161292,2025-05-08,9.9,16.5,10.95,5
2161292,2025-05-09,8.299999999999999,13.1,7.45,5
2161292,2025-05-10,6.6499999999999995,8.4,6.225,5
2161292,2025-05-11,6.575,14.4,3.3,5
2161292,2025-05-12,10.295833333333333,18.5,15.399999999999999,5
2161292,2025-05-13,6.3,9.9,6.175,5
