hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date
0,,,,,,6123215,2024-11-24
90,0.0001146489375969395,5.983343726256862e-05,-2.5892722987919115e-05,0.00030789573793299496,0.00010878249304369092,6123215,2024-11-25
0,,,,,,6123215,2024-11-26
0,,,,,,6123215,2024-11-27
138,0.00010561586532276124,8.310906559927389e-05,-0.00016167716239579022,0.00031639757798984647,0.00010085174289997667,6123215,2024-11-28
150,0.0001755724078975618,0.00011841569357784465,-0.00010514607129152864,0.00045440453686751425,0.00016508829139638692,6123215,2024-11-29
156,0.00025968096451833844,0.00013597190263681114,-0.0001078365312423557,0.000629809801466763,0.0002519263653084636,6123215,2024-11-30
105,0.00023990895715542138,0.00013701090938411653,3.0052210604480933e-06,0.0007030388806015253,0.00023018800129648298,6123215,2024-12-01
1,5.210311064729467e-05,0.0,5.210311064729467e-05,5.210311064729467e-05,5.210311064729467e-05,6123215,2024-12-02
5,9.46940781432204e-05,8.057307422859594e-05,8.795539542916231e-06,0.0002243701892439276,0.00011575456301216036,6123215,2024-12-03
65,7.436152372974902e-05,8.982792496681213e-05,-0.00014969958283472806,0.00031328765908256173,7.6224489021115e-05,6123215,2024-12-04
76,8.874812920112163e-05,0.0001025188248604536,-0.0001956340274773538,0.00030302058439701796,9.893295646179467e-05,6123215,2024-12-05
0,,,,,,6123215,2024-12-06
0,,,,,,6123215,2024-12-07
0,,,,,,6123215,2024-12-08
12,7.229902985272929e-05,4.127740248804912e-05,-1.297928156418493e-05,0.00012765752035193145,6.795777881052345e-05,6123215,2024-12-09
91,0.00019084487576037645,9.557896555634215e-05,1.0468800610397011e-05,0.0004355674027465284,0.00019213242921978235,6123215,2024-12-10
0,,,,,,6123215,2024-12-11
0,,,,,,6123215,2024-12-12
0,,,,,,6123215,2024-12-13
0,,,,,,6123215,2024-12-14
0,,,,,,6123215,2024-12-15
156,0.0001527429703855887,0.00014390531578101218,-0.0002582453889772296,0.000575368816498667,0.0001520856167189777,6123215,2024-12-16
54,0.00018865203310269862,8.874624472809955e-05,4.666948734666221e-05,0.00047055797767825425,0.0001799440069589764,6123215,2024-12-17
156,0.0002023714769165963,0.00014806671242695302,-0.00024056760594248772,0.0006544539937749505,0.0001836046576499939,6123215,2024-12-18
156,0.0002493089996278286,0.00010789345105877146,-8.216415153583512e-05,0.0004734214162454009,0.00026453769532963634,6123215,2024-12-19
152,0.00023146177409216762,0.0001290331274503842,-5.0182457925984636e-05,0.0005843552062287927,0.00022376343258656561,6123215,2024-12-20
135,0.00016966991825029254,0.00012414599768817425,-7.500840001739562e-05,0.0004929325077682734,0.00016407757357228547,6123215,2024-12-21
156,0.00027812019106931984,0.00013347543426789343,-6.0005146224284545e-05,0.0006480718730017543,0.0002736206806730479,6123215,2024-12-22
156,0.00025990279391407967,0.0001085579497157596,1.2373069694149308e-05,0.0005431513418443501,0.000255998398642987,6123215,2024-12-23
0,,,,,,6123215,2024-12-24
64,0.00021008621843066067,0.00015273575263563544,-0.00016893941210582852,0.000489243830088526,0.00023122853599488735,6123215,2024-12-25
10,0.0001399585307808593,5.2311715990072116e-05,6.788728933315724e-05,0.0002513572108000517,0.00012152779527241364,6123215,2024-12-26
0,,,,,,6123215,2024-12-27
156,0.0002593386161606759,0.00012960450840182602,-0.00011887266737176105,0.0005280830664560199,0.00026812643045559525,6123215,2024-12-28
156,0.00022161238302942365,0.0001910742576001212,-0.00032744192867539823,0.000699417432770133,0.00020094301726203412,6123215,2024-12-29
2,5.966454409644939e-05,0.0,5.966454409644939e-05,5.966454409644939e-05,5.966454409644939e-05,6123215,2024-12-30
0,,,,,,6123215,2024-12-31
156,0.0002694113354664296,0.0001387864613207057,-6.602970825042576e-05,0.000664631137624383,0.0002661984763108194,6123215,2025-01-01
125,0.00021745722915511578,9.979416790883988e-05,1.1708259080478456e-05,0.0004897576873190701,0.00021843780996277928,6123215,2025-01-02
156,0.00025175465270876884,0.0001709334901534021,-0.00013971565931569785,0.000799209694378078,0.00026249513030052185,6123215,2025-01-03
156,0.0002343740634387359,0.00011005136911990121,1.0550581464485731e-05,0.0005418802029453218,0.00023086307919584215,6123215,2025-01-04
156,0.000315965706249699,0.0001454772864235565,-7.908160478109494e-05,0.0006745136925019324,0.0003140485496260226,6123215,2025-01-05
156,0.00024432881036773324,0.00012264138786122203,-7.764928886899725e-05,0.0005637293215841055,0.0002497882233001292,6123215,2025-01-06
4,0.00012500971206463873,9.52044574660249e-05,-3.940896931453608e-05,0.00018574442947283387,0.00017685169586911798,6123215,2025-01-07
9,0.0001808977103792131,7.79547990532592e-05,9.25258282222785e-05,0.00030344969127327204,0.00020009060972370207,6123215,2025-01-08
26,0.00014152005314826965,7.721679139649495e-05,-2.1890195057494566e-05,0.00025326915783807635,0.0001307009079027921,6123215,2025-01-09
0,,,,,,6123215,2025-01-10
95,0.00010187329462496564,8.75750629347749e-05,-6.758477684343234e-05,0.00030552473617717624,0.00011211433593416587,6123215,2025-01-11
156,0.000226014934014529,0.00014570285566151142,-0.00013826873328071088,0.000652100017759949,0.00021080017904751003,6123215,2025-01-12
156,0.0002712483110371977,0.00014056461805012077,-9.960046736523509e-05,0.000585547648370266,0.00027102234889753163,6123215,2025-01-13
80,0.00014309170364867896,0.00013625780411530286,-0.00011257451842539012,0.0006659292848780751,0.00013849145034328103,6123215,2025-01-14
61,0.00011739221372408792,9.87747625913471e-05,-0.00016061062342487276,0.000360122270649299,0.00012888875789940357,6123215,2025-01-15
156,0.00024342835240531713,0.00013343655155040324,-0.00015420580166392028,0.0005444146227091551,0.00024334917543455958,6123215,2025-01-16
156,0.000275768426945433,0.00012662688095588237,6.321899491013028e-06,0.0006512654945254326,0.00027613333077169955,6123215,2025-01-17
0,,,,,,6123215,2025-01-18
0,,,,,,6123215,2025-01-19
156,0.00028673605993390083,0.00011237084254389629,4.4324679038254544e-05,0.000590194424148649,0.00029460323275998235,6123215,2025-01-20
156,0.0002144677855540067,0.00011210056982235983,-9.91864362731576e-05,0.00048709538532420993,0.00021190746338106692,6123215,2025-01-21
1,4.225255543133244e-05,0.0,4.225255543133244e-05,4.225255543133244e-05,4.225255543133244e-05,6123215,2025-01-22
0,,,,,,6123215,2025-01-23
0,,,,,,6123215,2025-01-24
0,,,,,,6123215,2025-01-25
0,,,,,,6123215,2025-01-26
134,0.00019224765128456056,0.00013220410619396716,-0.00014768287655897439,0.0005848229629918933,0.00019073857401963323,6123215,2025-01-27
99,0.00013092071458231658,0.00010143194231204689,-7.642944547114894e-05,0.00036068278132006526,0.0001261201105080545,6123215,2025-01-28
11,0.00029899386572651565,7.941381045384333e-05,0.00011927548621315509,0.00039372462197206914,0.00035014672903344035,6123215,2025-01-29
145,0.0001783732877811417,0.00014400665531866252,-0.00016044908261392266,0.0005082609131932259,0.00016889833204913884,6123215,2025-01-30
50,9.43017948884517e-05,8.018974040169269e-05,-3.9535927498945966e-05,0.00039594678673893213,9.259468060918152e-05,6123215,2025-01-31
24,6.236141780391335e-05,7.495515455957502e-05,-5.32322155777365e-05,0.00023667947971262038,5.961597344139591e-05,6123215,2025-02-01
0,,,,,,6123215,2025-02-02
0,,,,,,6123215,2025-02-03
151,0.00014964757428970188,0.0001464748929720372,-0.00017158417904283851,0.0006473221583291888,0.00012472514936234802,6123215,2025-02-04
0,,,,,,6123215,2025-02-05
0,,,,,,6123215,2025-02-06
0,,,,,,6123215,2025-02-07
6,5.8601333876140416e-05,2.7821246476378292e-05,2.275719680255861e-06,9.406800381839275e-05,6.411942013073713e-05,6123215,2025-02-08
0,,,,,,6123215,2025-02-09
0,,,,,,6123215,2025-02-10
135,0.00020607338228728622,0.00011049390741391107,-2.0600265997927636e-05,0.0005481162806972861,0.00018600764451548457,6123215,2025-02-11
